Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Version,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
21,3,https://github.com/serverlessworkflow/editor/issues/21,Run unit tests on every PR and push to main,fantonangeli,,Tooling,Major,,2026/Q1,XS,0.6,0.1,2026-03-26,,
24,3,https://github.com/serverlessworkflow/editor/issues/24,Run linter in CI,fantonangeli,,Tooling,Major,,2026/Q1,XS,0.6,0.1,2026-03-26,,
371,,https://github.com/quarkiverse/quarkus-flow/issues/371,Add shared common test module for persistence,mcruzdev,,Runtimes,Normal,,2026/Q1,,0.2,0.2,2026-03-26,,
372,,https://github.com/quarkiverse/quarkus-flow/issues/372,Update all example's Quarkus version automatically with the Quarkus version used in the project,mcruzdev,,CI,Normal,,2026/Q1,,0.0,0.0,2026-03-26,,
20,3,https://github.com/serverlessworkflow/editor/issues/20,"Add GitHub Action to build and test on Windows, macOS, and Linux",fantonangeli,,Tooling,Critical,,2026/Q1,M,0.6,0.1,2026-03-25,,
32,3,https://github.com/serverlessworkflow/editor/issues/32,feat: create a dependency consistency check CI,fantonangeli,,Tooling,Critical,,2026/Q1,S,0.3,0.1,2026-03-25,,
327,112,https://github.com/quarkiverse/quarkus-flow/issues/327,feat: Make sure pending db writes are processed before closing application,fjtirado,,Runtimes,Normal,,2026/Q1,XS,0.1,0.1,2026-03-25,,
118,49,https://github.com/quarkiverse/quarkus-flow/issues/118,feat: Backend for the Management Console dashboard on the devui,mcruzdev,,Runtimes,Major,,2026/Q1,,2.0,0.4,2026-03-24,,
1245,,https://github.com/serverlessworkflow/sdk-java/issues/1245,Workflows in WAITING status cannot be restored after application restart,mcruzdev,,Runtimes,Critical,,2026/Q1,M,0.6,0.6,2026-03-24,,
1249,,https://github.com/serverlessworkflow/sdk-java/issues/1249,Name tasks on DSL,mcruzdev,,Runtimes,Normal,,2026/Q1,S,0.2,0.4,2026-03-24,,
1252,,https://github.com/serverlessworkflow/sdk-java/issues/1252,Java DSL: Predictable task naming when name is not provided,ricardozanini,,Runtimes,Blocker,,2026/Q1,S,0.2,0.2,2026-03-24,,
1261,,https://github.com/serverlessworkflow/sdk-java/issues/1261,Add scanAll test to persistence test utils,fjtirado,,Runtimes,Major,,2026/Q1,XS,0.1,0.1,2026-03-24,,
348,,https://github.com/quarkiverse/quarkus-flow/issues/348,Solve issue with build against Quarkus SNAPSHOT:  [CI] - Flow + Quarkus main,mcruzdev,,CI,Critical,,2026/Q1,M,0.4,0.4,2026-03-24,,
355,112,https://github.com/quarkiverse/quarkus-flow/issues/355,bug: flow-persistence-redis doesn't remove intermediate steps so redis will keep on accumulating data over time,fjtirado,,Runtimes,Major,,2026/Q1,S,0.1,0.1,2026-03-24,,
361,,https://github.com/quarkiverse/quarkus-flow/issues/361,bug: JPA scanAll not working,fjtirado,,Runtimes,Critical,,2026/Q1,S,0.2,0.2,2026-03-24,,
1247,,https://github.com/serverlessworkflow/sdk-java/issues/1247,Blocking persistence writes,fjtirado,,Runtimes,Major,,2026/Q1,S,0.3,0.3,2026-03-21,,
332,,https://github.com/quarkiverse/quarkus-flow/issues/332,feat: Expose the ability to add custom Listeners to lifecycle events,ricardozanini,,Runtimes,Normal,,2026/Q1,S,0.5,0.2,2026-03-21,,
334,,https://github.com/quarkiverse/quarkus-flow/issues/334,feat: Add `quarkus.application.name` as the default Workflow App ID,ricardozanini,,Runtimes,Critical,,2026/Q1,XS,0.1,0.1,2026-03-21,,
23,3,https://github.com/serverlessworkflow/editor/issues/23,Enable Dependabot alerts for vulnerability detection,lornakelly,,Tooling,Normal,,2026/Q1,XS,0.1,0.1,2026-03-20,,
307,,https://github.com/quarkiverse/quarkus-flow/issues/307,feat: Add Quarkus Flow to the Quarkus Platform,baldimir,,Runtimes,Major,,2026/Q1,M,1.0,0.5,2026-03-20,,
1189,,https://github.com/serverlessworkflow/sdk-java/issues/1189,Missing Event Filtering to the Java DSL,ricardozanini,,Runtimes,Blocker,,2026/Q1,L,1.0,2.0,2026-03-19,,
148,113,https://github.com/quarkiverse/quarkus-flow/issues/148,bug: improve Newsletter Exemple UX,ricardozanini,,Runtimes,Normal,,2026/Q1,L,1.0,1.0,2026-03-19,,
11,2,https://github.com/serverlessworkflow/editor/issues/11,Add Governance and Contributing Documentation,ricardozanini,,Docs,Major,,2026/Q1,S,0.1,0.1,2026-03-18,,
1188,226,https://github.com/serverlessworkflow/sdk-java/issues/1188,Add `then` to the Java DSL,"ricardozanini,mcruzdev",,Runtimes,Normal,,2026/Q1,M,0.2,0.2,2026-03-18,,
12,2,https://github.com/serverlessworkflow/editor/issues/12,"Add Issue, Bug Report, PR Request Templates",lornakelly,,PM,Major,,2026/Q1,S,0.4,0.4,2026-03-18,,
1235,,https://github.com/serverlessworkflow/sdk-java/issues/1235,ci: Sync issues to a target GitHub project,dgutierr,,CI,Normal,,2026/Q1,S,0.4,0.1,2026-03-18,,
1240,,https://github.com/serverlessworkflow/sdk-java/issues/1240,Check for listener duplicates,fjtirado,,Runtimes,Normal,,2026/Q1,XS,0.1,0.1,2026-03-18,,
1242,,https://github.com/serverlessworkflow/sdk-java/issues/1242,Handling http response not convertible to workflow model,fjtirado,,Runtimes,Normal,,2026/Q1,XS,0.1,0.1,2026-03-18,,
138,,https://github.com/quarkiverse/quarkus-flow/issues/138,Add e2e test to be sure that the DevUI are working with new Quarkus release,mcruzdev,,QE,Major,,2026/Q2,M,0.6,0.6,2026-03-18,,
144,113,https://github.com/quarkiverse/quarkus-flow/issues/144,Attach correlation headers to all outgoing HTTP/OpenAPI calls,mcruzdev,,Runtimes,Major,,2026/Q1,L,1.0,1.0,2026-03-18,,
151,112,https://github.com/quarkiverse/quarkus-flow/issues/151,feat: Flow runtime monitoring metrics (Micrometer/Prometheus) + starter dashboards,mcruzdev,,Runtimes,Major,,2026/Q1,L,1.6,2.0,2026-03-18,,
152,113,https://github.com/quarkiverse/quarkus-flow/issues/152,feat: Attach correlation attributes to emitted events,mcruzdev,,Runtimes,Major,,2026/Q1,L,1.0,1.0,2026-03-18,,
156,112,https://github.com/quarkiverse/quarkus-flow/issues/156,feat: Improve reliability & fault-tolerance to HTTP/OpenAPI calls,mcruzdev,,Runtimes,Major,,2026/Q1,L,1.6,2.0,2026-03-18,,
